Database_ID,Database_Name,Associated_Subjects,Original_Description_HTML,Rewritten_Description_A_HTML,Rewritten_Description_B_HTML,Database_URL,
7231113,MLA Directory of Periodicals,English and Comparative Literature,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; The MLA Directory of Periodicals offers detailed information on over 5,500 journals, with 4,400 currently indexed in the International Bibliography. The detailed entries include editorial contact information, as well as frequency, circulation, subscription prices and submission guidelines.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=kah,
7231114,MLA International Bibliography,English and Comparative Literature;Asian American Studies;Chicana & Chicano Studies;Latin American Studies;Linguistics;TESOL;Anthropology;Modern Languages & Literatures;Linguistic Anthropology,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; Provides indexing to journal articles, books, book chapters, dissertations, working papers, proceedings, bibliographies, and other formats on all national literatures, literary criticism, language, linguistics, and folklore.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=mzh,
7231116,Music Periodicals Database,Chicana & Chicano Studies;Latin American Studies;Music;Cinema and Television Arts;Anthropology;Archaeological Anthropology;Cultural Anthropology;Communications--Entertainment Studies,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; Formerly known as International Index of Music Periodicals Full Text (IIMP), the Music Periodicals Database is an international music resource which indexes articles from journals and magazine. This database includes all musical genres from classical to popular. The Music Periodicals Database is the music periodicals section within this database. It can be searched separately or in a combined search with the Performing Arts Periodicals Database (formerly known as the International Index to Performing Arts Full Text), the performing arts periodical section of the database.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,http://search.proquest.com/iimp/advanced?accountid=9840,
7231117,Performing Arts Periodicals Database,English and Comparative Literature;Asian American Studies;Chicana & Chicano Studies;Communications;Latin American Studies;Music;Cinema and Television Arts;Theatre;Anthropology;Archaeological Anthropology;Cultural Anthropology;Communications--Entertainment Studies,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; Formerly known as International Index to Performing Arts Full Text (IIPAFT). The Performing Arts Periodicals Database is a dynamic resource for the performing arts that provides indexing and abstracts for more than 210 international journals. International index for articles from performing arts journals and magazines. Database includes all aspects for the performing arts from theatre to the entertainment industry. The Performing Arts Periodicals Database is the performing arts section within this database. It can be searched separately or in a combined search with the Music Periodicals Database (formerly known as International Index of Music Periodicals Full Text), the music periodicals sections of the database.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,http://search.proquest.com/iipa/advanced?accountid=9840,
7231121,Gale in Context: Opposing Viewpoints,Asian American Studies;Chicana & Chicano Studies;Human Communication;Latin American Studies;TESOL;General Research;Communications--Advertising;Communications--Public Relations,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; Covers a wide range of controversial topics and results may include sources such as magazine, newspaper or journal articles, government documents, political position papers, public policy statements, legal and legislative materials, pamphlets, statistical data, biographies, court cases, and links websites.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://link.gale.com/apps/OVIC?u=csuf_main,
7231124,African American Studies Center,African American Studies;American Studies;History;Anthropology;Archaeological Anthropology;Cultural Anthropology,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt;  The Oxford African American Studies Center provides students, scholars and librarians with more than 8,000 articles by top scholars in the field. The core content includes: Africana Encyclopedia of African American History, 1619-1895, Encyclopedia of African American History, 1896 to the Present, Black Women in America, Second Edition, and African American National Biography. In addition to the full-text of these works, the Center draws on other key resources from Oxford's reference program, including the Concise Oxford Companion to African American Literature, the Oxford Companion to Black British History, and selected articles from other major reference titles. Over 1,300 images, primary sources with specially written commentaries, and nearly 150 maps have been collected to enhance this reference content. 150 charts and tables offer information on everything from demographics to government and politics to business and labor to education and the arts.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://www.oxfordaasc.com,
7231125,Oxford Art Online,Art;Latin American Studies;Anthropology;Archaeological Anthropology;Cultural Anthropology,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; Includes Grove Art Online, Encyclopedia of Aesthetics, Oxford Companion to Western Art, and Concise Oxford Dictionary of Art Terms. Provides artist biographies, thematic timelines, over 40,000 image links. Limited to 25 simultaneous CSU system-wide users.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://www.oxfordartonline.com/groveart,
7231126,Oxford English Dictionary,English and Comparative Literature;Linguistics;TESOL;Linguistic Anthropology,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; Largest, most authoritative English language dictionary. Provides the meaning, history, and pronunciation of over half a million words, traces the usage of sources, covers words from across the English-speaking world including etymological analysis, variant spellings, pronunciation, and provides uses of words from over 2.5 million quotations.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://www.oed.com,
7231127,Oxford History of Western Music,Music,"&lt;p&gt;&lt;img src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; alt=&quot;Covered in OneSearch&quot; title=&quot;Covered in OneSearch&quot;&gt; This resource tracks the evolution of Western classical music. It was written by the well-known musicologist, Richard Taruskin, and covers the period from the development of Gregorian chants up to the late Twentieth Century. Oxford History of Western Music is fully searchable database in an interactive digital format. It includes all 1.25 million words, 500 images, and 1,800 musical examples from the paper edition. It is also possible from this resource to link directly into selected links to relevant articles in Grove Music Online.&lt;/p&gt;", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,"https://academic.oup.com/search-results?sort=Title+-+A+to+Z&f_ContentType=Book&fl_SiteID=191&cqb=%5B%7B%22terms%22:%5B%7B%22filter%22:%22Title%22,%22input%22:%22The%20Oxford%20History%20of%20Western%20Music%22,%22exactMatch%22:true%7D%5D%7D%5D&qb=%7B%22Title1-exact%22:%22The%20Oxford%20History%20of%20Western%20Music%22%7D&page=1",
7231128,Oxford Journals,English and Comparative Literature;Asian American Studies,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; Provides access to over 200 of the academic and research journals of Oxford University Press, encompassing the science, technical, professional, medical, humanities, arts, and social science disciplines.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://academic.oup.com/journals/advanced-search,
7231129,Oxford Music Online,Music;Anthropology;Archaeological Anthropology;Cultural Anthropology,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; This music encyclopedia includes the New Grove Dictionary of Music and Musicians, New Grove Dictionary of Opera, New Grove Dictionary of Jazz, Grove Dictionary of American Music, Grove Dictionary of Musical Instruments, Oxford Companion to Music, Oxford Dictionary of Music and the Encyclopedia of Popular Music.  It is recommended to students of all levels as a beginning point for research.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://www.oxfordmusiconline.com/,
7231130,Oxford Reference,English and Comparative Literature;Asian American Studies;Linguistics;TESOL;Anthropology;Cultural Anthropology;Linguistic Anthropology;Communications--Journalism;Communications--Public Relations,"&lt;p&gt;&lt;img src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; alt=&quot;Covered in OneSearch&quot; width=&quot;17&quot; height=&quot;15&quot;&gt;Collection of 260+ Reference books; including dictionaries, encyclopedias, and books of quotations, includes resources in a wide range of fields.&lt;/p&gt;", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,http://www.oxfordreference.com,
7231132,PAIS International,Asian American Studies;Chicana & Chicano Studies;Human Services;Latin American Studies;Social Work;Sociology,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; Public Affairs Information Service: Political Science, Criminal Justice, and Public Administration and includes journal articles, books, government documents, statistical directories, grey literature, and publications of international agencies.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,http://search.proquest.com/pais/advanced?accountid=9840,
7231135,Philosophers Index,English and Comparative Literature;Asian American Studies;Religious Studies;Philosophy,"Indexes scholarly research in all areas of philosophy. Coverage from journal articles, books, book chapters and book reviews from 1940-present. Updated quarterly.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,http://search.proquest.com/philosophersindex/advanced?accountid=9840,
7231136,Sports Medicine and Education Index,Kinesiology;Asian American Studies;Education;Nursing;Anthropology;Evolutionary Anthropology,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; This kinesiology related database provides access to articles covering to topics of biomechanics, coaching, dance, health, physical education, physical fitness, physical therapy, recreation, sport psychology, and sport medicine.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,http://search.proquest.com/physicaleducation/advanced?accountid=9840,
7231137,PTSDpubs,Public Health;Counseling;Psychology;Nursing;Social Work,Formerly PILOTS database. International literature on traumatic stress (PTSD and other mental-health consequences of traumatic events). Indexes books and chapters in addition to articles., DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,http://search.proquest.com/pilots/advanced?accountid=9840,
7231138,Play Index,English and Comparative Literature;Asian American Studies;Theatre,"&lt;p&gt;&lt;img src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; alt=&quot;Covered in OneSearch&quot; width=&quot;17&quot; height=&quot;15&quot;&gt;Provides citations for over 30,000 plays written from Antiquity to the present and published from 1949 to present. Play Index includes plays written in, or translated into, English. Search for plays by title, author, subject, style, genre, cast type, and more. Play Index does not provide the full-text of the play, but click 'Find this play in a book,' or the 'Find It' button to locate a copy of the play.&lt;/p&gt;", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=pix,
7231139,Pollak Library OneSearch,,"&lt;p&gt;OneSearch of the resources--books, e-books, journals, audviovisual materials, maps, microforms, government documents--available in the Pollak Library.&lt;/p&gt;", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://csu-fullerton.primo.exlibrisgroup.com/discovery/search?vid=01CALS_FUL:01CALS_FUL,
7231141,Prisma with HAPI Index,English and Comparative Literature;Chicana & Chicano Studies;Latin American Studies;Anthropology;Modern Languages & Literatures;Archaeological Anthropology;Cultural Anthropology,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; Provides full-text scholarly journal articles in the social sciences and humanities for Latin American Studies, the Caribbean Basin, and Hispanics, Latinos and Chicanos in the United States. Subject areas include Anthropology, Business and Economics, History, Literature, Political Science and Sociology. Offers key titles indexed HAPI Online. Languages: Spanish, English and Portuguese.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,http://search.proquest.com/prisma/advanced?accountid=9840,
7231142,Project MUSE,Counseling;English and Comparative Literature;Asian American Studies;Communication Sciences and Disorders;Education;Theatre,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; This interdisciplinary journal collection provides full-text access to over 300 scholarly journals. It is particularly strong in the humanities disciplines, such as literature, history, and area studies (Africa, Asia, Latin America and Europe), but also has content from the sciences and the social sciences.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,http://muse.jhu.edu/browse,
7231143,US Newsstream,English and Comparative Literature;American Studies;Asian American Studies;Chicana & Chicano Studies;Communications;History;Human Communication;Cinema and Television Arts;TESOL;Communications--Advertising;Communications--Entertainment Studies;Communications--Journalism,"&lt;p&gt;&lt;img src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; alt=&quot;Covered in OneSearch&quot; width=&quot;17&quot; height=&quot;15&quot;&gt;Provides access to many major U.S. and international newspapers, including local titles (LA Times, Orange County Register) and national titles.&lt;/p&gt;", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://search.proquest.com/usnews/advanced?accountid=9840,
7231144,APA PsycARTICLES,Public Health;Child & Adolescent Studies;Counseling;Psychology;English and Comparative Literature;Asian American Studies;Communication Sciences and Disorders;Marketing;Social Work;Sociology,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; Available via EBSCO. Features access to full-text, peer-reviewed scholarly and scientific articles in psychology and contains over 137,000 articles from more than 60 journals published by the American Psychological Association (APA), its imprint the Educational Publishing Foundation (EPF), and allied organizations such as the Canadian Psychological Association. This database includes all journal articles, book reviews, letters to the editor, and errata from each journal.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=pdh,
7231146,APA PsycINFO,"Public Health;Kinesiology;Child & Adolescent Studies;Counseling;Psychology;English and Comparative Literature;Asian American Studies;Chicana & Chicano Studies;Communication Sciences and Disorders;Criminal Justice;Education;Aging Studies;Human Communication;Human Services;Latin American Studies;Linguistics;Marketing;Nursing;Cinema and Television Arts;Social Work;Sociology;Anthropology;Psychology, Counseling, Social Work;Cultural Anthropology;Evolutionary Anthropology;Linguistic Anthropology;Communications--Advertising","Available via EBSCO. The American Psychological Associations (APA) notable database for locating abstracts of scholarly journal articles, book chapters, books, and dissertations. This resource is the largest of its kind dedicated to peer-reviewed literature in behavioral science and mental health, and it also includes information about the psychological aspects of related fields such as medicine, psychiatry, nursing, sociology, education, pharmacology, technology, linguistics, anthropology, business, and law. Material is drawn from over 2,000 periodicals in more than 20 languages.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=psyh,
7231147,PubMed,Public Health;Kinesiology;Counseling;Chicana & Chicano Studies;Communication Sciences and Disorders;Aging Studies;Human Services;Latin American Studies;Nursing;Social Work;Anthropology;Biological Science;Archaeological Anthropology;Evolutionary Anthropology,"A comprehensive index to biomedical and life sciences journals with citations to over 18 million articles back to 1948. Note: To limit to full-text articles, search PUBMED CENTRAL.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,http://ncbi.nlm.nih.gov/entrez/query.fcgi?otool=calsflib,
7231149,Readers Guide Full Text,English and Comparative Literature;Asian American Studies;Chicana & Chicano Studies;Communications;Human Communication;Latin American Studies;Cinema and Television Arts;Communications--Advertising;Communications--Entertainment Studies;Communications--Journalism;Communications--Public Relations,"&lt;p&gt;&lt;img src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; alt=&quot;Covered in OneSearch&quot; width=&quot;17&quot; height=&quot;15&quot;&gt;Indexes over 400 of the most popular magazines and journals published in the United States and Canada, with about full text for half of them. Particularly useful for locating magazines dealing with popular culture, such as fashion, current events, home and garden, entertainment, consumer information, and sports.&lt;/p&gt;", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=rgm,
7231150,"Readers Guide Retrospective, 1890-1982",English and Comparative Literature;Asian American Studies;Chicana & Chicano Studies;Communications;Latin American Studies;Communications--Journalism,"&lt;p&gt;&lt;img src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; alt=&quot;Covered in OneSearch&quot; width=&quot;17&quot; height=&quot;15&quot;&gt;Indexes older issues of over 375 magazines and journals, such as Business Week (1929-1982), Good Housekeeping (1916-1982), and National Geographic (1888-1982). Limited to 2 simultaneous users.&lt;/p&gt;", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=rgr,
7231151,Checkpoint Edge (formerly RIA Checkpoint),Accounting and Tax,"Complete full text and analysis of Federal, state, and local tax laws, regulations, cases, and news. Expert commentary and interpretation is provided by RIA and WG&amp;L.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,http://checkpoint.riag.com/login?iploc=Calstateuniv,
7231152,RILM Abstracts of Music Literature,Music;Anthropology;Archaeological Anthropology;Cultural Anthropology,"&lt;p&gt;&lt;img src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; alt=&quot;Covered in OneSearch&quot; width=&quot;17&quot; height=&quot;15&quot;&gt;Premier international music database recommended as first choice by Music faculty for scholarly writings from journals, books, dissertations, and more. Covers all aspects of music but focuses on classical music. Rpertoire International de Littrature Musicale.&lt;/p&gt;", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=ram,
7231153,O'Reilly,Business;Computer Science;Engineering;Instructional Design and Technology;Mathematics,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; A rotating collection of searchable e-books for IT professionals and computer programmers. The collection was upgraded July 2006 to include 1350 new books published 2004-present. Books can be read in their entirety online. Individual pages may be printed, e-mailed, or saved.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://go.oreilly.com/california-state-university-fullerton,
7231154,SAGE Journals Online,Child & Adolescent Studies;Counseling;English and Comparative Literature;Asian American Studies;Communication Sciences and Disorders;Education;Aging Studies;Instructional Design and Technology;Social Work;Sociology,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; A gateway to journal articles in over 500 SAGE publications, with coverage in the disciplines of business, humanities, social sciences, and science, technology and medicine. This database offers full-text access to numerous SAGE journal titles and includes complete access to the SAGE Full-Text Collections for education and psychology.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://journals.sagepub.com/,
7231156,Science,Chemistry & Biochemistry;Environmental Studies;Physics;Anthropology;Archaeological Anthropology;Cultural Anthropology;Evolutionary Anthropology,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; Includes access to 'Science Magazine,' a source for full-text peer-reviewed general-science articles, scientific news, commentary, and cutting-edge research. With full text of the journal's news stories, research reports, and commentary articles in a searchable database, enhanced by additional information, links, multimedia, and user services, as well as a database of scientific-product information.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://www.science.org/,
7231157,ScienceDirect,Public Health;Kinesiology;Counseling;Asian American Studies;Chemistry & Biochemistry;Communication Sciences and Disorders;Computer Science;Education;Geological Sciences;Aging Studies;Nursing;Physics;Social Work;Mathematics;Biological Science,"&lt;p&gt;&lt;img src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; alt=&quot;Covered in OneSearch&quot; title=&quot;Covered in OneSearch&quot;&gt; Science Direct provides access to over 2500 scientific scholarly journals in the areas of biochemistry, biological sciences, business and management science, chemistry, clinical medicine, earth sciences, economics, engineering and technology, environmental science, materials science, mathematics and computer science, microbiology and immunology, neurosciences, pharmacology and toxicology, physics, social sciences and more. Many articles are in full-text.&lt;/p&gt;", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://www.sciencedirect.com/,
7231158,SciFinder-n,Archaeology;Chemistry & Biochemistry;Environmental Studies;Geological Sciences;Physics;Anthropology;Archaeological Anthropology;Evolutionary Anthropology,"SciFinder-n is a resource from the Chemical Abstracts Service (CAS). It is the most comprehensive discovery tool of chemical and bibliographic information covering scientific journals, patents, conference proceedings, and technical reports. Chemical literature (CAS) coverage is from 1907 to present. Biomedical literature (MEDLINE) is from 1950 to present. SciFinder-n requires users to create individual accounts for access.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,http://www.library.fullerton.edu/asp/scifinder.aspx,
7231159,Smithsonian Global Sound,Asian American Studies;Chicana & Chicano Studies;Latin American Studies;Linguistics;Music;Anthropology;Modern Languages & Literatures;Archaeological Anthropology;Cultural Anthropology,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; Now part of MUSIC ONLINE. An international database of traditional and historical music recordings from across the world which can be searched by country, cultural group, artist, instrument, genre, and more. Highlights of the collection are in folk, jazz, blues, bluegrass, and old time country music as well as musical traditions from Africa, the Americas, and Asia. For current music see the complementary database, 'Contemporary World Music.' It is possible to create individual playlists or course folders for entire classes.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://search.alexanderstreet.com/glmu,
7231162,Social Sciences Full Text,African American Studies;Child & Adolescent Studies;Counseling;Psychology;American Studies;Asian American Studies;Chicana & Chicano Studies;Communications;Criminal Justice;History;Human Services;Latin American Studies;Cinema and Television Arts;Social Work;Sociology;Gender and Sexuality Studies;Political Science;Anthropology;Queer Studies;Cultural Anthropology;Communications--Advertising,&lt;p&gt;&lt;img src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; alt=&quot;Covered in OneSearch&quot; width=&quot;17&quot; height=&quot;15&quot;&gt;Searches a wide range of social science issues and topics found in scholarly journals.&lt;/p&gt;, DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=ssf,
7231163,Social Services Abstracts,Child & Adolescent Studies;Counseling;Psychology;Aging Studies;Human Services;Social Work;Political Science,"This abstract and indexing database of journal articles, dissertations, and book reviews provides coverage of current research focused on social work, human services, and related areas such as social welfare, social policy, and community development. Over 1,300 serials publications from over 40 countries are represented.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,http://search.proquest.com/socialservices/advanced?accountid=9840,
7231164,Sociological Abstracts,Child & Adolescent Studies;Counseling;Asian American Studies;Chicana & Chicano Studies;Education;Human Communication;Human Services;Latin American Studies;Linguistics;Cinema and Television Arts;Social Work;Sociology;TESOL;Anthropology;Cultural Anthropology;Communications--Advertising,"Sociological database that leads to journal articles, book reviews, book chapters, dissertations, conference proceedings and more.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,http://search.proquest.com/socabs/advanced?accountid=9840,
7231165,SPORTDiscus Full-Text,Kinesiology;Child & Adolescent Studies;Asian American Studies;Nursing;Anthropology;Evolutionary Anthropology;Communications--Entertainment Studies,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; This database offers comprehensive indexing of literature pertaining to sports, sports medicine, exercise psychology, biomechanics, psychology, training, coaching, physical education and fitness, physical fitness and related disciplines. Sport Discus includes over 565,000 records, with citations from over 1,200 periodicals (published 1975-present), books and theses (1949-present), conference reports, and videotapes.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=s3h,
7231166,SpringerLink Journals,Counseling;English and Comparative Literature;Asian American Studies;Engineering;Physics;Social Work;Mathematics,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; SpringerLink database provides full-text coverage of scientific, technical, and medical literature. Among the subjects covered are: architecture and design, behavioral science, biomedical and life sciences, business and economics, chemistry and materials science, computer science, earth and environmental science, engineering, humanities, social sciences and law, mathematics and statistics, medicine, physics and astronomy, professional and applied computing.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,http://link.springer.com/,
7231169,The Times (London) Digital Archive 1785 1985,English and Comparative Literature;History;Communications--Journalism,&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt;Searchable newspaper database with full-text images of The Times (London) newspaper from 1785 to 1985.  Searches can be limited by date and newspaper sections. Results can be viewed as articles with highlighted search terms or as full-page images., DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://link.gale.com/apps/TTDA?u=csuf_main,
7231170,Ulrichs Periodicals Directory,English and Comparative Literature;Asian American Studies,"Directory of approximately 250,000 regularly and irregularly published journals, magazines, newspapers, and full-text electronic resources from more than 200 countries. Search or browse by title, keyword, subject, ISSN or publisher; list and sorting options; and highlights of new, changed, and ceased titles.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,http://ulrichsweb.serialssolutions.com,
7231172,USA Trade Online,Business;International Business,"Note: This database is available at the Reference Desk. It contains current and cumulative U.S. export and import data for over 18,000 export commodities and 24,000 import commodities. USA Trade Online provides trade statistics using the Harmonized System (HS) up to the 10-digit level and the North American Industry Classification System (NAICS) commodity classification codes up to the 6-digit level. NOTE: Does not include statistics on trade between foreign countries.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://usatrade.census.gov/,
7231173,Wall Street Journal 1984-present,Accounting and Tax;Business;Economics;Communications;Management;Marketing;Finance;International Business,Provides access to the full text of all articles published in the Wall Street Journal from 1984-today., DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,http://search.proquest.com/newsstand/publication/10482/citation?accountid=9840,
